time,NOP,NOP2,STA,STA2,LDA,LDA2,ADD,ADD2,OR,OR2,AND,AND2,NOT,NOT2,SUB,SUB2,JMP,JMP2,JNt,JNt2,JNf,JNf2,JPt,JPt2,JPf,JPf2,JVt,JVt2,JVf,JVf2,JNtV,JNVt2,JNVf,JNVf2,JZt,JZt2,JZf,JZf2,JNZt,JNZt2,JNZf,JNZf2,JCt,JCt2,JCf,JCf2,JNCt,JNCt2,JNCf,JNCf2,JBt,JBt2,JBf,JBf2,JNBt,JNBt2,JNBf,JNBf2,SHR,SHR2,SHL,SHL2,ROR,ROR2,ROL,ROL2,HLT,HLT2
t0,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem
t1,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc
t2,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,,cg_ri,
t3,,,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,,,cg_rem,ctrl_rem,cg_rem,ctrl_rem,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,cg_rem,ctrl_rem,inc_pc,,,,,,,,,,,
t4,,,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,read,inc_pc,,,read,inc_pc,read,,read,,,,read,,,,read,,,,read,,,,read,,,,read,,,,read,,,,read,,,,read,,,,read,,,,,,,,,,,,,
t5,,,cg_rem,,cg_rem,,cg_rem,,cg_rem,,cg_rem,,,,cg_rem,,cg_pc,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,cg_pc,,,,,,,,,,,,,
t6,,,cg_rdm,,read,,read,,read,,read,,,,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t7,,,write,,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,cg_ac,cg_nz,,
