x,y
50,47.3
200,182.2
402,329.6
600,424.0
830,501.0
1185,552.0
1200,553.0
1321,565.0
1564,565.0
1771,563.0
2036,558.0
2285,545.0
2509,533.0
3065,501.0
3541,470.0
4063,437.0
4466,414.0
5362,362.0
6060,344.2
6580,321.8
7300,293.4
8100,265.7
9160,233.5
10820,191.6
	
